class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
0,0,0,None,SMOTE,LogisticReg,0.536316776,0.518842694,1,0.68320794,0.536316776,0.079461711,0.002084781,0.857142857,0.004159445,0.467428204
0,0,0,None,SMOTE,DecisionTree,1,1,1,1,1,0.986542775,0,0,0,0.494380218
0,0,0,None,SMOTE,RandomForest,0.999843799,1,0.999687598,0.999843774,0.999843799,0.996155079,0,0,0,0.499197174
0,0,0,None,SMOTE,LightGBM,0.990393627,0.982702952,0.998359888,0.990469549,0.990393627,0.977250881,0,0,0,0.489723828
0,0,0,None,SMOTE,SVC,0.505037488,0.502531497,1,0.668913095,0.505037488,0.016340916,0.002274943,1,0.004539559,0.507064868
0,0,0,None,ADASYN,LogisticReg,0.535438295,0.519622561,0.94515525,0.670578142,0.535214301,0.139057994,0.002228826,0.857142857,0.004446091,0.49729333
0,0,0,None,ADASYN,DecisionTree,1,1,1,1,1,0.985581544,0,0,0,0.493898523
0,0,0,None,ADASYN,RandomForest,0.871438607,0.806592841,0.977375566,0.883809524,0.871380691,0.754245434,0.001312336,0.142857143,0.00260078,0.449238462
0,0,0,None,ADASYN,LightGBM,0.973421279,0.953583975,0.995319083,0.974004657,0.973409307,0.943607818,0,0,0,0.472864483
0,0,0,None,ADASYN,SVC,0.505112794,0.502706095,1,0.669067752,0.504842237,0.016340916,0.002274943,1,0.004539559,0.507064868
0,0,0,MM,SMOTE,LogisticReg,0.833216182,0.814383612,0.86316776,0.838066351,0.833216182,0.812239667,0,0,0,0.407032755
0,0,0,MM,SMOTE,DecisionTree,1,1,1,1,1,0.986542775,0,0,0,0.494380218
0,0,0,MM,SMOTE,RandomForest,0.999843799,1,0.999687598,0.999843774,0.999843799,0.996155079,0,0,0,0.499197174
0,0,0,MM,SMOTE,LightGBM,0.990393627,0.982702952,0.998359888,0.990469549,0.990393627,0.977250881,0,0,0,0.489723828
0,0,0,MM,SMOTE,SVC,0.982271165,0.966812821,0.998828491,0.982559926,0.982271165,0.966997757,0,0,0,0.484585742
0,0,0,MM,ADASYN,LogisticReg,0.836780891,0.81712691,0.867998128,0.841794658,0.836763825,0.815764178,0,0,0,0.408798972
0,0,0,MM,ADASYN,DecisionTree,1,1,1,1,1,0.985901955,0,0,0,0.494059088
0,0,0,MM,ADASYN,RandomForest,0.871438607,0.806592841,0.977375566,0.883809524,0.871380691,0.754245434,0.001312336,0.142857143,0.00260078,0.449238462
0,0,0,MM,ADASYN,LightGBM,0.973421279,0.953583975,0.995319083,0.974004657,0.973409307,0.943607818,0,0,0,0.472864483
0,0,0,MM,ADASYN,SVC,0.982554055,0.96742991,0.998751755,0.98284135,0.9825452,0.968279398,0,0,0,0.485228003
0,0,0,SD,SMOTE,LogisticReg,0.836027804,0.817176557,0.86574508,0.840759983,0.836027804,0.818327459,0,0,0,0.410083494
0,0,0,SD,SMOTE,DecisionTree,1,1,1,1,1,0.986222365,0,0,0,0.494219653
0,0,0,SD,SMOTE,RandomForest,0.999843799,1,0.999687598,0.999843774,0.999843799,0.996155079,0,0,0,0.499197174
0,0,0,SD,SMOTE,LightGBM,0.990901281,0.983760486,0.998281787,0.990967942,0.990901281,0.976930471,0,0,0,0.489563263
0,0,0,SD,SMOTE,SVC,0.989612621,0.980383142,0.999218994,0.989711457,0.989612621,0.968279398,0,0,0,0.485228003
0,0,0,SD,ADASYN,LogisticReg,0.84283038,0.820722364,0.877515993,0.848169513,0.842811417,0.82089074,0,0,0,0.411368015
0,0,0,SD,ADASYN,DecisionTree,1,1,1,1,1,0.985901955,0,0,0,0.494059088
0,0,0,SD,ADASYN,RandomForest,0.871438607,0.806592841,0.977375566,0.883809524,0.871380691,0.754245434,0.001312336,0.142857143,0.00260078,0.449238462
0,0,0,SD,ADASYN,LightGBM,0.972133323,0.952587496,0.993758777,0.972737686,0.9721215,0.944248638,0,0,0,0.473185613
0,0,0,SD,ADASYN,SVC,0.989696355,0.98048071,0.999297862,0.989799861,0.989691106,0.969881448,0,0,0,0.486030829
0,0,0,RB,SMOTE,LogisticReg,0.835754452,0.817082166,0.865198376,0.840452166,0.835754452,0.81928869,0,0,0,0.410565189
0,0,0,RB,SMOTE,DecisionTree,1,1,1,1,1,0.986542775,0,0,0,0.494380218
0,0,0,RB,SMOTE,RandomForest,0.999843799,1,0.999687598,0.999843774,0.999843799,0.996155079,0,0,0,0.499197174
0,0,0,RB,SMOTE,LightGBM,0.990237426,0.982400861,0.998359888,0.990316083,0.990237426,0.975969241,0,0,0,0.489081567
0,0,0,RB,SMOTE,SVC,0.576499531,0.541421745,0.999921899,0.702477298,0.576499531,0.157962192,0.002278769,0.857142857,0.004545455,0.506766676
0,0,0,RB,ADASYN,LogisticReg,0.842713293,0.820589523,0.877437978,0.848062132,0.842694309,0.82153156,0,0,0,0.411689146
0,0,0,RB,ADASYN,DecisionTree,1,1,1,1,1,0.985581544,0,0,0,0.493898523
0,0,0,RB,ADASYN,RandomForest,0.871438607,0.806592841,0.977375566,0.883809524,0.871380691,0.754245434,0.001312336,0.142857143,0.00260078,0.449238462
0,0,0,RB,ADASYN,LightGBM,0.973460308,0.953790938,0.995163052,0.974037874,0.973448443,0.944569048,0,0,0,0.473346179
0,0,0,RB,ADASYN,SVC,0.576691905,0.541670188,0.999921985,0.702686404,0.576460524,0.158282602,0.002279635,0.857142857,0.004547177,0.506927241
0,1,0,None,SMOTE,LogisticReg,0.842713293,0.820589523,0.877437978,0.848062132,0.842694309,0.82153156,0,0,0,0.411689146
0,1,0,None,SMOTE,DecisionTree,1,1,1,1,1,0.985581544,0,0,0,0.493898523
0,1,0,None,SMOTE,RandomForest,0.871438607,0.806592841,0.977375566,0.883809524,0.871380691,0.754245434,0.001312336,0.142857143,0.00260078,0.449238462
0,1,0,None,SMOTE,LightGBM,0.973460308,0.953790938,0.995163052,0.974037874,0.973448443,0.944569048,0,0,0,0.473346179
0,1,0,None,SMOTE,SVC,0.576691905,0.541670188,0.999921985,0.702686404,0.576460524,0.158282602,0.002279635,0.857142857,0.004547177,0.506927241
0,1,0,None,ADASYN,LogisticReg,0.781525728,0.763515488,0.815846995,0.78881425,0.781517687,0.797500801,0,0,0,0.399646757
0,1,0,None,ADASYN,DecisionTree,0.998672601,0.997585294,0.999765808,0.998674361,0.998672345,0.984299904,0,0,0,0.493256262
0,1,0,None,ADASYN,RandomForest,0.946864996,0.90447255,0.999297424,0.949523421,0.946852711,0.908683114,0.003571429,0.142857143,0.006968641,0.526630884
0,1,0,None,ADASYN,LightGBM,0.974154759,0.952945563,0.997580016,0.974752098,0.974149271,0.945850689,0.006097561,0.142857143,0.011695906,0.545256446
0,1,0,None,ADASYN,SVC,0.781096275,0.749705332,0.844106167,0.794110087,0.781081512,0.758410766,0,0,0,0.380057803
0,1,0,MM,SMOTE,LogisticReg,0.783114652,0.762833527,0.821696345,0.791171605,0.783114652,0.792053829,0,0,0,0.396917148
0,1,0,MM,SMOTE,DecisionTree,0.99867229,0.997506623,0.999843799,0.998673844,0.99867229,0.983659084,0,0,0,0.492935132
0,1,0,MM,SMOTE,RandomForest,0.947516401,0.905405405,0.999453296,0.950107655,0.947516401,0.902274912,0,0,0,0.452151574
0,1,0,MM,SMOTE,LightGBM,0.975554514,0.954131862,0.999140893,0.976117809,0.975554514,0.950336431,0.006666667,0.142857143,0.012738854,0.547504358
0,1,0,MM,SMOTE,SVC,0.969345517,0.94360375,0.998359888,0.970209859,0.969345517,0.94809356,0,0,0,0.475112396
0,1,0,MM,ADASYN,LogisticReg,0.780588741,0.761873543,0.816471507,0.788228201,0.780580333,0.792374239,0,0,0,0.397077714
0,1,0,MM,ADASYN,DecisionTree,0.998672601,0.997585294,0.999765808,0.998674361,0.998672345,0.984299904,0,0,0,0.493256262
0,1,0,MM,ADASYN,RandomForest,0.946864996,0.90447255,0.999297424,0.949523421,0.946852711,0.908683114,0.003571429,0.142857143,0.006968641,0.526630884
0,1,0,MM,ADASYN,LightGBM,0.974154759,0.952945563,0.997580016,0.974752098,0.974149271,0.945850689,0.006097561,0.142857143,0.011695906,0.545256446
0,1,0,MM,ADASYN,SVC,0.969118451,0.943407364,0.998126464,0.969995827,0.969111654,0.94745274,0,0,0,0.474791265
0,1,0,SD,SMOTE,LogisticReg,0.780537332,0.762342974,0.815213996,0.787892512,0.780537332,0.797500801,0,0,0,0.399646757
0,1,0,SD,SMOTE,DecisionTree,0.99867229,0.997506623,0.999843799,0.998673844,0.99867229,0.983659084,0,0,0,0.492935132
0,1,0,SD,SMOTE,RandomForest,0.947516401,0.905405405,0.999453296,0.950107655,0.947516401,0.902274912,0,0,0,0.452151574
0,1,0,SD,SMOTE,LightGBM,0.974422056,0.952139933,0.999062793,0.975037158,0.974422056,0.94745274,0.006289308,0.142857143,0.012048193,0.546059271
0,1,0,SD,SMOTE,SVC,0.981412059,0.964716526,0.999375195,0.981740064,0.981412059,0.94969561,0.006578947,0.142857143,0.012578616,0.547183228
0,1,0,SD,ADASYN,LogisticReg,0.781174358,0.763013799,0.815846995,0.788546422,0.781166234,0.797180391,0,0,0,0.399486191
0,1,0,SD,ADASYN,DecisionTree,0.998672601,0.997585294,0.999765808,0.998674361,0.998672345,0.984299904,0,0,0,0.493256262
0,1,0,SD,ADASYN,RandomForest,0.946864996,0.90447255,0.999297424,0.949523421,0.946852711,0.908683114,0.003571429,0.142857143,0.006968641,0.526630884
0,1,0,SD,ADASYN,LightGBM,0.974232841,0.953020134,0.99765808,0.974828375,0.974227353,0.9493752,0.006535948,0.142857143,0.0125,0.547022663
0,1,0,SD,ADASYN,SVC,0.980869837,0.963715748,0.999375488,0.981221737,0.980865501,0.946491509,0.00617284,0.142857143,0.01183432,0.545577576
0,1,0,RB,SMOTE,LogisticReg,0.780498282,0.7622873,0.815213996,0.787862777,0.780498282,0.796859981,0,0,0,0.399325626
0,1,0,RB,SMOTE,DecisionTree,0.99867229,0.997506623,0.999843799,0.998673844,0.99867229,0.983979494,0,0,0,0.493095697
0,1,0,RB,SMOTE,RandomForest,0.947516401,0.905405405,0.999453296,0.950107655,0.947516401,0.902274912,0,0,0,0.452151574
0,1,0,RB,SMOTE,LightGBM,0.975554514,0.954131862,0.999140893,0.976117809,0.975554514,0.950336431,0.006666667,0.142857143,0.012738854,0.547504358
0,1,0,RB,SMOTE,SVC,0.565643549,0.535130617,0.999921899,0.697160282,0.565643549,0.130406921,0.002206694,0.857142857,0.004402054,0.49295807
0,1,0,RB,ADASYN,LogisticReg,0.781369564,0.763292434,0.815846995,0.788695193,0.781361485,0.797180391,0,0,0,0.399486191
0,1,0,RB,ADASYN,DecisionTree,0.998672601,0.997585294,0.999765808,0.998674361,0.998672345,0.984299904,0,0,0,0.493256262
0,1,0,RB,ADASYN,RandomForest,0.946864996,0.90447255,0.999297424,0.949523421,0.946852711,0.908683114,0.003571429,0.142857143,0.006968641,0.526630884
0,1,0,RB,ADASYN,LightGBM,0.974154759,0.952945563,0.997580016,0.974752098,0.974149271,0.945850689,0.006097561,0.142857143,0.011695906,0.545256446
0,1,0,RB,ADASYN,SVC,0.565667213,0.535208325,0.999765808,0.697188274,0.565565503,0.130406921,0.002206694,0.857142857,0.004402054,0.49295807
