classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler,class_weight
LogisticReg,0.3641025641025641,0.3044094973789701,0.9989880590973487,0.46662885233503504,0.559045732141614,0.13200897148349888,0.002577319587628866,1.0,0.005141388174807198,0.565028901734104,0,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.8882502113271344,0.7145343777197564,0.9969641772920461,0.832446134347275,0.9216311045785441,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501,0,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9784164553395323,0.9316287878787879,0.9955474600283344,0.962528128363174,0.9836765728757728,0.9541813521307273,0.014285714285714285,0.2857142857142857,0.027210884353741496,0.6206991467107074,0,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8963651732882502,0.7294378698224852,0.9979761181946974,0.8428339458165969,0.9275650662826034,0.7830823454021147,0.004437869822485207,0.42857142857142855,0.008784773060029283,0.6062253417744747,0,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.7416173570019724,0.51876449504533,0.9959522363893949,0.6821931101407084,0.8197115133837009,0.6369753284203781,0.005272407732864675,0.8571428571428571,0.010480349344978167,0.7468116340948711,0,0,None,SVMSMOTE,balanced
LogisticReg,0.5,0.5,1.0,0.6666666666666666,0.5,0.002242870874719641,0.002242870874719641,1.0,0.004475703324808183,0.5,0,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,0,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5576772883473914,0.5306037876590278,1.0,0.6933261134425341,0.5576772883473915,0.13361102210829862,0.0022148394241417496,0.8571428571428571,0.004418262150220913,0.4945637214423341,0,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.8589112777257107,0.7799232502893342,1.0,0.8763560453098798,0.8589112777257107,0.649791733418776,0.001834862385321101,0.2857142857142857,0.0036463081130355514,0.46816221671713004,0,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.6671352702280537,0.7136581469648562,0.5582630427991253,0.6264680105170903,0.6671352702280537,0.7821211150272349,0.0029542097488921715,0.2857142857142857,0.0058479532163742695,0.5344756399669695,0,0,None,RandomOverSampler,balanced
LogisticReg,0.6546069315300085,0.44620539757290345,0.9971665654725764,0.6165300631921418,0.7597907179127955,0.4706824735661647,0.0024198427102238356,0.5714285714285714,0.004819277108433735,0.5209422882833288,0,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.8882502113271344,0.7145343777197564,0.9969641772920461,0.832446134347275,0.9216311045785441,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501,0,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9784164553395323,0.9316287878787879,0.9955474600283344,0.962528128363174,0.9836765728757728,0.9541813521307273,0.014285714285714285,0.2857142857142857,0.027210884353741496,0.6206991467107074,0,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8963651732882502,0.7294378698224852,0.9979761181946974,0.8428339458165969,0.9275650662826034,0.7830823454021147,0.004437869822485207,0.42857142857142855,0.008784773060029283,0.6062253417744747,0,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.9913778529163144,0.9763231197771588,0.9931188018619712,0.9846493428313434,0.9919124156138972,0.987183595001602,0.0,0.0,0.0,0.49470134874759153,0,0,MM,SVMSMOTE,balanced
LogisticReg,0.5238987816307404,0.5122419587133942,1.0,0.6774603174603175,0.5238987816307403,0.023710349247036206,0.0022920759659463,1.0,0.004573668735707285,0.5107578676942839,0,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,0,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5576772883473914,0.5306037876590278,1.0,0.6933261134425341,0.5576772883473915,0.13361102210829862,0.0022148394241417496,0.8571428571428571,0.004418262150220913,0.4945637214423341,0,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.8589112777257107,0.7799232502893342,1.0,0.8763560453098798,0.8589112777257107,0.649791733418776,0.001834862385321101,0.2857142857142857,0.0036463081130355514,0.46816221671713004,0,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.9873086535457669,0.9752456394241755,1.0,0.9874677052404273,0.987308653545767,0.9641140660044858,0.0,0.0,0.0,0.48314065510597304,0,0,MM,RandomOverSampler,balanced
