classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler
LogisticReg,0.7746970977740208,0.5530073074761102,0.9955474600283344,0.711043654235328,0.8425097500079191,0.6843960269144505,0.006060606060606061,0.8571428571428571,0.012036108324974926,0.7705752821359757,0.0,0.0,None,SVMSMOTE
DecisionTree,0.9364891518737672,0.8169880319148937,0.9947379073062134,0.8971433786620425,0.9543745768958434,0.8673502082665813,0.004866180048661801,0.2857142857142857,0.009569377990430623,0.577185980365171,0.0,0.0,None,SVMSMOTE
RandomForest,0.9172161172161172,0.7729559748427673,0.9949402954867436,0.8700115034067782,0.9410815191897949,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032,0.0,0.0,None,SVMSMOTE
LightGBM,0.9848971541279233,0.9536012424771889,0.9941307427646225,0.9734443123265955,0.9877323504513521,0.9689202178788849,0.010869565217391304,0.14285714285714285,0.020202020202020204,0.5568171391870814,0.0,0.0,None,SVMSMOTE
SVC,0.33575655114116654,0.29527511961722486,0.999190447277879,0.45584229721619496,0.5394655766536224,0.09195770586350528,0.0024639211545230554,1.0,0.004915730337078652,0.5449582530507386,0.0,0.0,None,SVMSMOTE
LogisticReg,0.5362777257107154,0.5188216702459582,1.0,0.6831897126697436,0.5362777257107154,0.07946171099006728,0.0020847810979847115,0.8571428571428571,0.004159445407279029,0.46742820442242405,0.0,0.0,None,RandomOverSampler
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.9942326177507209,0.0,0.0,0.0,0.49823378291586384,0.0,0.0,None,RandomOverSampler
RandomForest,0.9367775695095283,0.8877487346599182,1.0,0.9405369669813053,0.9367775695095283,0.8827298942646588,0.002770083102493075,0.14285714285714285,0.005434782608695652,0.5136251032204789,0.0,0.0,None,RandomOverSampler
LightGBM,0.9390815370196813,0.8913951545530493,1.0,0.9425795053003534,0.9390815370196813,0.8305030438961871,0.005681818181818182,0.42857142857142855,0.011214953271028038,0.6299889898155795,0.0,0.0,None,RandomOverSampler
SVC,0.5008981568259919,0.5004494821184288,1.0,0.6670660866394018,0.5008981568259918,0.00512656199935918,0.002249357326478149,1.0,0.004488618146841937,0.5014450867052023,0.0,0.0,None,RandomOverSampler
LogisticReg,0.9889546351084813,0.9678564385722737,0.9933211900425015,0.9804234918098281,0.9902953966457432,0.9814162127523229,0.0,0.0,0.0,0.4918111753371869,0.0,0.0,MM,SVMSMOTE
DecisionTree,0.9364891518737672,0.8169880319148937,0.9947379073062134,0.8971433786620425,0.9543745768958434,0.8673502082665813,0.004866180048661801,0.2857142857142857,0.009569377990430623,0.577185980365171,0.0,0.0,MM,SVMSMOTE
RandomForest,0.9172161172161172,0.7729559748427673,0.9949402954867436,0.8700115034067782,0.9410815191897949,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032,0.0,0.0,MM,SVMSMOTE
LightGBM,0.9848971541279233,0.9536012424771889,0.9941307427646225,0.9734443123265955,0.9877323504513521,0.9689202178788849,0.010869565217391304,0.14285714285714285,0.020202020202020204,0.5568171391870814,0.0,0.0,MM,SVMSMOTE
SVC,0.9966751197520428,0.9923356192012909,0.9957498482088646,0.994039802000202,0.9963910128267065,0.9935917975008011,0.0,0.0,0.0,0.49791265253693,0.0,0.0,MM,SVMSMOTE
LogisticReg,0.6765854420493596,0.6918703326544468,0.636754139331459,0.6631690255409143,0.6765854420493597,0.6014098045498237,0.0016116035455278,0.2857142857142857,0.003205128205128205,0.44391687310762457,0.0,0.0,MM,RandomOverSampler
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.9942326177507209,0.0,0.0,0.0,0.49823378291586384,0.0,0.0,MM,RandomOverSampler
RandomForest,0.9367775695095283,0.8877487346599182,1.0,0.9405369669813053,0.9367775695095283,0.8827298942646588,0.002770083102493075,0.14285714285714285,0.005434782608695652,0.5136251032204789,0.0,0.0,MM,RandomOverSampler
LightGBM,0.9390815370196813,0.8913951545530493,1.0,0.9425795053003534,0.9390815370196813,0.8305030438961871,0.005681818181818182,0.42857142857142855,0.011214953271028038,0.6299889898155795,0.0,0.0,MM,RandomOverSampler
SVC,0.9872305529522024,0.9750970984692712,1.0,0.9873915558126084,0.9872305529522024,0.9641140660044858,0.0,0.0,0.0,0.48314065510597304,0.0,0.0,MM,RandomOverSampler
LogisticReg,0.9914342068188222,0.9763278297195146,0.9933211900425015,0.9847512038523275,0.9920136097041624,0.9859019545017622,0.0,0.0,0.0,0.4940590879897238,0.0,0.0,SD,SVMSMOTE
DecisionTree,0.9364891518737672,0.8169880319148937,0.9947379073062134,0.8971433786620425,0.9543745768958434,0.8673502082665813,0.004866180048661801,0.2857142857142857,0.009569377990430623,0.577185980365171,0.0,0.0,SD,SVMSMOTE
RandomForest,0.9172161172161172,0.7729559748427673,0.9949402954867436,0.8700115034067782,0.9410815191897949,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032,0.0,0.0,SD,SVMSMOTE
LightGBM,0.980276134122288,0.9386585132811007,0.9941307427646225,0.9655985846274818,0.9845302261152072,0.9605895546299263,0.00847457627118644,0.14285714285714285,0.015999999999999997,0.5526424442609413,0.0,0.0,SD,SVMSMOTE
